success_rate,avg_attempts,avg_time_spent,syntax_errors,structural_errors,label
0.111,7.2,216,5,5,Easy
0.495,4.33,93,1,0,Easy
0.032,7.28,280,4,3,Easy
0.291,3.5,129,2,2,Easy
0.077,7.39,228,4,4,Easy
0.135,4.45,204,5,4,Easy
0.102,7.31,253,5,4,Easy
0.143,6.34,186,4,4,Easy
0.222,6.44,200,3,3,Easy
0.407,1.86,72,3,1,Easy
0.433,3.77,82,5,1,Easy
0.381,3.83,88,1,1,Easy
0.437,2.61,70,2,3,Easy
0.364,5.18,109,3,2,Easy
0.169,7.17,186,4,2,Easy
0.483,3.87,94,2,0,Easy
0.07,5.19,333,5,4,Easy
0.414,4.16,127,3,0,Easy
0.452,2.47,10,1,3,Easy
0.35,4.97,132,3,3,Easy
0.045,8.13,268,7,5,Easy
0.168,4.95,227,6,4,Easy
0.385,2.59,92,2,2,Easy
0.15,5.56,253,2,5,Easy
0.389,5.04,92,1,1,Easy
0.17,7.75,229,5,3,Easy
0.299,5,191,3,3,Easy
0.129,5.55,232,5,5,Easy
0.43,2.9,119,0,3,Easy
0.358,6.01,82,4,2,Easy
0.074,6.93,291,5,4,Easy
0.24,4.57,185,1,2,Easy
0.295,5.21,80,3,2,Easy
0,9.55,211,5,7,Easy
0.352,4.22,82,2,1,Easy
0.08,5.63,211,6,4,Easy
0.361,3.57,157,3,2,Easy
0.126,7.48,223,4,5,Easy
0.118,4.44,168,5,3,Easy
0.417,5.54,158,1,2,Easy
0.052,7.14,297,8,3,Easy
0.283,5.61,186,3,3,Easy
0.093,5.29,254,6,3,Easy
0.181,5.92,209,1,1,Easy
0.254,5.19,155,4,4,Easy
0.119,9.34,554,6,3,Easy
0.438,2.77,98,2,1,Easy
0.294,3.95,201,4,3,Easy
0.457,4.73,18,3,1,Easy
0.197,7.07,166,4,3,Easy
0.078,5.99,297,6,6,Easy
0.039,7.52,272,5,3,Easy
0.098,7.97,203,4,4,Easy
0,6.52,293,6,4,Easy
0.025,6.64,281,6,5,Easy
0.375,3.6,163,2,1,Easy
0.124,5.9,174,3,5,Easy
0.306,4.89,143,4,3,Easy
0.28,4.52,158,2,2,Easy
0.138,6.63,225,4,4,Easy
0.045,6.18,264,7,4,Easy
0.035,7.6,327,5,5,Easy
0.13,6.27,242,2,3,Easy
0.22,4.72,204,5,4,Easy
0.095,6.32,271,5,5,Easy
0.108,7.09,214,7,3,Easy
0.117,3.72,276,6,4,Easy
0.408,6.18,102,0,1,Easy
0.231,3.71,217,3,4,Easy
0.018,6.54,279,7,5,Easy
0.335,4.99,75,4,2,Easy
0.402,5.09,126,2,1,Easy
0.225,5.19,188,1,3,Easy
0.378,4.58,94,3,1,Easy
0.269,5.39,200,4,3,Easy
0.255,6.56,146,5,2,Easy
0.235,5.45,213,3,2,Easy
0.129,5.88,236,5,2,Easy
0.366,3.11,103,1,3,Easy
0.142,2.69,259,4,5,Easy
0.314,5.9,116,4,2,Easy
0.387,3.47,152,5,1,Easy
0.261,4.54,210,4,2,Easy
0.4,2.16,115,1,2,Easy
0.025,8.05,285,5,4,Easy
0.388,3.96,175,1,2,Easy
0.47,2.89,104,1,1,Easy
0.292,4.87,148,3,3,Easy
0.264,6.16,149,2,4,Easy
0.076,5.4,257,4,2,Easy
0.244,5.32,202,2,3,Easy
0.174,6.95,189,3,2,Easy
0.22,4.56,203,3,2,Easy
0.456,2.89,29,3,0,Easy
0.375,3.03,89,2,2,Easy
0.194,5.52,268,4,5,Easy
0.261,5.52,162,3,3,Easy
0.239,3.35,189,4,3,Easy
0.265,3.63,221,3,3,Easy
